2007-11-05 T 20:50:08.437 UTCRSS 5  [1] [SDAT] RSS : .simCompleted()():: Run: 0 pstat=  1 1.0646 1.0646 1.0646 NaN
2007-11-05 T 22:28:07.017 UTCRSS 949  [1] [SDAT] RSS : .simCompleted()():: Run: 118 pstat=  119 1.1798512978524742 0.91756 1.4753888888888889 0.11892257997856634
2007-11-05 T 22:28:43.448 UTCRSS 957  [1] [SDAT] RSS : .simCompleted()():: Run: 119 pstat=  120 1.1797130925925925 0.91756 1.4753888888888889 0.1184315283262701
2007-11-05 T 22:29:27.786 UTCRSS 965  [1] [SDAT] RSS : .simCompleted()():: Run: 120 pstat=  121 1.1801732231404956 0.91756 1.4753888888888889 0.11804559067935064
2007-11-05 T 22:30:21.526 UTCRSS 973  [1] [SDAT] RSS : .simCompleted()():: Run: 121 pstat=  122 1.1797261748633878 0.91756 1.4753888888888889 0.11766044417986082
2007-11-05 T 22:31:03.673 UTCRSS 981  [1] [SDAT] RSS : .simCompleted()():: Run: 122 pstat=  123 1.1795712556458895 0.91756 1.4753888888888889 0.11718983263596404
2007-11-05 T 22:31:52.646 UTCRSS 989  [1] [SDAT] RSS : .simCompleted()():: Run: 123 pstat=  124 1.179981075268817 0.91756 1.4753888888888889 0.11680166443856052
2007-11-05 T 22:32:43.000 UTCRSS 997  [1] [SDAT] RSS : .simCompleted()():: Run: 124 pstat=  125 1.1797312711111108 0.91756 1.4753888888888889 0.11636325829119293
2007-11-05 T 22:33:44.376 UTCRSS 1005  [1] [SDAT] RSS : .simCompleted()():: Run: 125 pstat=  126 1.181589664902998 0.91756 1.4753888888888889 0.11775925305598323
2007-11-05 T 22:34:49.674 UTCRSS 1013  [1] [SDAT] RSS : .simCompleted()():: Run: 126 pstat=  127 1.1801911461067365 0.91756 1.4753888888888889 0.11834516369177805
2007-11-05 T 22:35:34.437 UTCRSS 1021  [1] [SDAT] RSS : .simCompleted()():: Run: 127 pstat=  128 1.1802399999999997 0.91756 1.4753888888888889 0.11787961285688105
2007-11-05 T 22:36:28.688 UTCRSS 1029  [1] [SDAT] RSS : .simCompleted()():: Run: 128 pstat=  129 1.1799454608096467 0.91756 1.4753888888888889 0.11746588827411276
2007-11-05 T 22:37:06.626 UTCRSS 1037  [1] [SDAT] RSS : .simCompleted()():: Run: 129 pstat=  130 1.1814604957264956 0.91756 1.4753888888888889 0.11827791362138959
2007-11-05 T 22:37:58.016 UTCRSS 1045  [1] [SDAT] RSS : .simCompleted()():: Run: 130 pstat=  131 1.1815917557251907 0.91756 1.4753888888888889 0.11783169805963273
2007-11-05 T 22:38:51.894 UTCRSS 1053  [1] [SDAT] RSS : .simCompleted()():: Run: 131 pstat=  132 1.182786296296296 0.91756 1.4753888888888889 0.11818069369711502
