2007-11-05 T 22:37:06.627 UTCRSS 1041  [1] [SDAT] RSS : .simCompleted()():: Run: 129 fpstat=  130 0.4096519658119657 0.18973333333333334 0.6107111111111111 0.08585705264440652
2007-11-05 T 22:37:58.017 UTCRSS 1049  [1] [SDAT] RSS : .simCompleted()():: Run: 130 fpstat=  131 0.40933638676844775 0.18973333333333334 0.6107111111111111 0.08560243256847311
2007-11-05 T 22:38:51.894 UTCRSS 1057  [1] [SDAT] RSS : .simCompleted()():: Run: 131 fpstat=  132 0.40946599326599314 0.18973333333333334 0.6107111111111111 0.08528807977775785
2007-11-05 T 22:39:40.918 UTCRSS 1065  [1] [SDAT] RSS : .simCompleted()():: Run: 132 fpstat=  133 0.4092942355889723 0.18973333333333334 0.6107111111111111 0.0849874911748455
2007-11-05 T 22:40:36.076 UTCRSS 1073  [1] [SDAT] RSS : .simCompleted()():: Run: 133 fpstat=  134 0.4089714759535654 0.18973333333333334 0.6107111111111111 0.08474978243212412
2007-11-05 T 22:41:57.990 UTCRSS 1081  [1] [SDAT] RSS : .simCompleted()():: Run: 134 fpstat=  135 0.40865448559670775 0.18973333333333334 0.6107111111111111 0.08451325265583239
2007-11-05 T 22:43:37.997 UTCRSS 1089  [1] [SDAT] RSS : .simCompleted()():: Run: 135 fpstat=  136 0.40727745098039203 0.18973333333333334 0.6107111111111111 0.08571737893543775
2007-11-05 T 22:45:33.246 UTCRSS 1097  [1] [SDAT] RSS : .simCompleted()():: Run: 136 fpstat=  137 0.4077527980535279 0.18973333333333334 0.6107111111111111 0.08558270477673023
2007-11-05 T 22:46:26.664 UTCRSS 1105  [1] [SDAT] RSS : .simCompleted()():: Run: 137 fpstat=  138 0.4077439613526569 0.18973333333333334 0.6107111111111111 0.08526985026325196
2007-11-05 T 22:47:47.179 UTCRSS 1113  [1] [SDAT] RSS : .simCompleted()():: Run: 138 fpstat=  139 0.40730967226219017 0.18973333333333334 0.6107111111111111 0.08511448592631493
2007-11-05 T 22:49:27.936 UTCRSS 1121  [1] [SDAT] RSS : .simCompleted()():: Run: 139 fpstat=  140 0.4079657142857142 0.18973333333333334 0.6107111111111111 0.08516226830767772
2007-11-05 T 22:51:34.863 UTCRSS 1129  [1] [SDAT] RSS : .simCompleted()():: Run: 140 fpstat=  141 0.40786792750197 0.18973333333333334 0.6107111111111111 0.08486551626102806
2007-11-05 T 22:53:09.287 UTCRSS 1137  [1] [SDAT] RSS : .simCompleted()():: Run: 141 fpstat=  142 0.40753646322378706 0.18973333333333334 0.6107111111111111 0.08465623466325733
